binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,multicollinearity 1,multicollinearity 3,corr_feature_class,outliers 2,correlated w target 2,correlated w target 1,informative_2,pd qcut1,multicollinearity 2,duplicate_2,target,multicollinearity 4,semi_constant_1,random choice 4,outliers 1,random choice 7,random choice 2,uniform corr 1,duplicate_1,random label num 3,pd qcut2,uniform corr 2,informative_1,random label num 11,semi_constant_2,pd qcut3,class,scaling_combined
1.0,Charles,Watkins,,+1-697-947-9846x881,,132 Palmer Way Suite 561,New Michaelland,MI,99407.0,-1.184067300647576,0.7059811961613858,2.570967940596513,5.684904225717515,,0.4770405481062326,-0.6638599972813359,Low,-0.781999082028832,-0.6638599972813359,-0.9042236742875388,0.9028747782861378,q_const_0,,-1.20978469071586,Monday,Rand Choice 1,0.418290395557933,-0.9991017824896424,label num lo 1,,0.5369679651872301,-0.9991017824896424,label num hi 4,q_const_0,G4,1,54286.036344994645
1.0,Jacob,,2012-02-13,437.708.9816x46745,beth00@example.org,576 Nathan Row,Joeburgh,IN,56159.0,-0.3106657071098601,,1.944753728640224,4.123799842664578,7.065364510816141,4.558861671353922,1.153596854135379,High,-0.2178257231959341,1.153596854135379,2.324369783092482,,q_const_0,North,-1.1334972990882082,Wednesday,Rand Choice 1,0.9101982311942408,1.2466861830450993,label num lo 1,Q3,,1.2466861830450993,label num hi 6,q_const_0,G5,1,47018.77871124986
1.0,Matthew,Reynolds,1986-06-23,648-819-9631x31463,marc44@example.net,936 Mark Springs,Port Jennifer,FL,97476.0,0.4998145445816277,-0.1080820314833188,4.301830582548918,0.172714744162616,3.4458055662849283,-1.493093450784469,0.8593974662590766,High,0.0244093438218132,0.8593974662590766,1.7782165547025084,,q_const_0,,1.8563089368147756,Thursday,Rand Choice 2,0.5144815788531227,0.9627768269601936,label num lo 2,Q3,0.7001727116649595,0.9627768269601936,label num hi 8,q_const_0,G5,1,
1.0,,Kline,,907-555-1184,vanessadaniels@example.com,85971 Brittany Radial,West Taylor,NM,90104.0,-1.7779581541618183,,-0.2483642917582402,,1.8371370288926865,5.672216219881622,2.0336452879154674,High,-2.184612929065608,2.0336452879154674,5.451234575139656,,q_const_0,,-1.171297408725548,Tuesday,Rand Choice 2,0.8164580440602699,-2.957440950943304,label num lo 3,Q4,0.6709366912364587,-2.957440950943304,label num hi 6,q_const_0,G6,1,47060.88898688658
,Samantha,Frazier,,470.461.1942x4386,wmckenzie@example.org,24494 Julie Junctions Apt. 472,North Jose,NV,30479.0,1.3279759607646633,,5.180655250954609,6.793004804465907,,1.2373392132833367,1.05944863351561,High,0.8743070844493361,1.05944863351561,2.1539258469951807,0.5011553646370003,q_const_0,North,-0.5949575433077463,Monday,Rand Choice 2,0.911327703979384,1.1411652716579703,label num lo 1,Q3,0.8257054782137473,1.1411652716579703,label num hi 1,q_const_0,G5,1,40073.268812204304
0.0,Shelley,Mcdaniel,1929-04-22,,mary19@example.org,357 Joseph Ports Suite 309,Port Allisonbury,RI,8215.0,0.4083399776013952,,1.973335115791733,4.391562663086747,,,2.399635889224372,,-0.4307408998682917,2.399635889224372,4.626787069235546,-2.1743100089246523,q_const_0,West,0.6965587690348921,Monday,Rand Choice 1,0.7585304312715817,2.485477863898728,,Q4,0.9166655669898428,2.485477863898728,label num hi 11,q_const_0,G6,1,
,Russell,Thomas,,806.688.7073x4308,perezbarbara@example.net,,,,,-1.0269830717220452,,-5.909236629875344,1.3174226271724374,1.5556544686140614,2.088731058808643,-0.747560845179044,Low,-0.3655190956547011,-0.747560845179044,-1.187224231921867,-0.3807625668983024,q_const_0,South,0.7141076767202813,Sunday,,0.4570491709539806,-0.6479636736717482,,Q2,0.2103464168865277,-0.6479636736717482,label num hi 8,q_const_0,G3,0,45995.7482546935
0.0,Abigail,Myers,,,,416 Stephanie Motorway,Dianeborough,AS,43592.0,0.2959946889986193,,1.5795880893966383,3.374013576054442,-2.0098063050913284,,-0.8182224427035356,Low,-1.2055874615247573,-0.8182224427035356,-1.266374292198878,-0.8604011338579989,q_const_0,,0.1471845443608523,Tuesday,,0.571553621171756,-0.8922328125534437,label num lo 1,Q2,0.4542674710076005,-0.8922328125534437,label num hi 3,q_const_0,G3,0,
1.0,Michael,Fritz,2005-01-12,(224)481-2299x9838,boyeremma@example.com,3029 Steven Islands,Millsbury,ND,44114.0,-0.1998536171885028,,1.8226569421372107,7.375464287953709,,,-0.0915466678066115,,-0.4610801359514146,-0.0915466678066115,0.2411105626158083,0.3661594181236129,q_const_0,East,1.8972431237250929,Wednesday,Rand Choice 1,0.8743001751974367,-0.7273359834485558,label num lo 2,Q3,0.5422683543876362,-0.7273359834485558,label num hi 6,q_const_0,G4,0,
0.0,,Ryan,1964-01-12,(350)936-3019,morenothomas@example.com,27779 Harrell Street Apt. 023,East Xavier,GU,64710.0,-0.0351726504811122,,2.098646466308137,2.242644901959909,-7.881693515560512,2.6971650251971147,-1.8069333466532715,Low,0.9418898135228064,-1.8069333466532715,-3.935564389564147,-0.0488640712486216,q_const_0,South,-0.0393353001583382,,Rand Choice 2,0.3956405130713729,0.9753643211025784,label num lo 1,Q1,0.1387097087071175,0.9753643211025784,label num hi 10,q_const_0,G1,0,42817.45937379879
